PUNTO_VENTA;CODIGO_PDV;PV.NOMBRE||'|'||EQU.NOMBRE;SFLEX.PKG_CIFRAR.FUN_DECRYPT(EQU.DIRECCION_MAC)
17232;21110;CASINO PLAZA  2 | CASINO PLAZA 2 ;00:D8:61:03:1D:D7
16203;20382;CC BALCONES PLAZA | CC BALCONES PLAZA;D8:BB:C1:DE:B1:91
17316;20059;CC MADRID RESERVADO E | CC MADRID RESERVADO E2;A8:A1:59:78:73:97
17317;20060;CC MADRID RESERVADOE | CC MADRID RESERVADO E3;A8:A1:59:B0:C7:E2
17920;21144;CENTRO  GAITAN 1 | CENTRO GAITAN 1;2C:F0:5D:EA:FE:03
17923;302725;CENTRO  GAITAN 2 | CENTRO GAITAN 2;9C:6B:00:46:F1:A2
17296;20044;CENTRO CIAL PRIMAVERA URBANA | CENTRO COMERCIAL PRIMAVERA URBANA;B0:7B:25:3:79:2D
17310;20055;CENTRO COMERCIAL  ROSA BLANCA | CENTRO COMERCIAL ROSA BLANCA;A8:A1:59:66:0D:2A
16441;20380;CENTRO COMERCIAL SUNRISE | CENTRO COMERCIAL SUNRISE;04:7C:16:B4:3C:9A
17304;20050;CENTRO COMERCIAL VIVA  | CENTRO COMERCIAL VIVA 2;30:9C:23:DC:3D:5F
17246;20030;CENTRO COMERCIAL VIVA BAHIA | EXITO VIVA;BC:F:F3:6E:E4:AE
17246;20002;CENTRO COMERCIAL VIVA BAHIA | CENTRO COMERCIAL VIVA  BAHIA;04:7C:16:B4:3C:28
17308;20053;CENTRO COMERCIAL VIVA LOC  | CENTRO COMERCIAL VIVA LOC 106;D8:BB:C1:04:23:68
17761;20256;CENTRO DE SALUD GRANADA | CENTRO DE SALUD GRANADA;A8:A1:59:78:80:B3
17904;21134;CENTRO PUERTO LOPEZ | CENTRO PUERTO LOPEZ;4C:CC:6A:D7:11:6D
17059;21111;CHAPINERO | CHAPINERO;30:9C:23:DC:18:6F
17683;20352;CIMARRON | CIMARRON;A8:A1:59:B0:D7:A5
17284;20034;CIUDAD MILENIO | CIUDAD MILENIO ;30:9C:23:DC:54:F4
17422;20168;CIUDADELA SAN ANTONIO | CIUDADELA SAN ANTONIO;70:85:C2:D2:96:65
17895;21135;CLINICA DEL SONIDO | CLINICA DEL SONIDO;A8:A1:59:B0:C5:76
17037;19883;COMPRAVENTA CENTAUROS | COMPRAVENTA CENTAUROS;1C:69:7A:12:80:6E
17253;20009;COMUNEROS | COMUNEROS;2C:F0:5D:EA:89:B6
300549;302701;CON STELLA DE CANAGUARO  52293809 - 4227 | CANAGUARO;54:B2:03:F3:2D:C8
17664;20335;CONFECCIONES CHAVITA | CONFECCIONES CHAVITA;94:C6:91:35:43:AA
17701;20207;DANIELS | DANIELS;1C:69:7A:17:46:23
17694;20364;DIVERSIONES CASTILLA | DIVERSIONES CASTILLA ;30:9C:23:9A:7C:42
17053;19936;DIVINO NIÑO | DIVINO NINO;A8:A1:59:66:0C:D3
17058;21112;DOCE DE OCTUBRE | DOCE DE OCTUBRE;1C:69:7A:17:43:23
17435;20159;DONA LUZ | DONA LUZ;2C:F0:5D:EA:FF:23
17369;20176;DROGUERIA  EL RECREO | DROGUERIA EL RECREO;2C:F0:5D:EA:89:A1
17254;20010;DROGUERIA CENTAUROS | DROGUERIA CENTAUROS;2C:F0:5D:22:DF:48
17062;21140;DROGUIERIA LA ESMERALDA | DROGUIERIA LA ESMERALDA;94:C6:91:35:45:45
17654;20320;EL BAUCHE | EL BAUCHE;D8:BB:C1:4:24:BC
17654;21174;EL BAUCHE | EL BAUCHE;D8:BB:C1:04:24:BC
17719;20232;EL BELEN | EL BELEN;D8:BB:C1:04:22:5C
17708;20275;EL CAMILO | EL CAMILO;30:9C:23:DC:1E:9D
17896;21141;EL CANOHERO PTO LOPEZ | EL CANOHERO PTO LOPEZ;A8:A1:59:99:32:23
17828;20296;EL CASINO | EL CASINO;2C:F0:5D:22:DF:47
18999;21160;EL CASTILLO- 1359  | EL CASTILLO;1C:69:7A:12:7F:4C
17890;20284;EL CENTRO SAN MARTIN | EL CENTRO SAN MARTIN;A8:A1:59:78:73:7B
17255;20011;EL CHARRASCAL | EL CHARRASCAL;2C:F0:5D:22:DD:A4
17659;20331;EL COOPERATIVO | EL COOPERATIVO;1C:69:7A:12:7B:35
17783;20312;EL DORADO PRINCIPAL | EL DORADO PRINCIPAL;30:9C:23:9A:7C:68
17660;20365;EL ESQUINAZO ELECTRICO | EL ESQUINAZO ELECTRICO;4C:CC:6A:D7:11:E2
17655;20313;EL HOSPITAL | EL HOSPITAL;D8:CB:8A:EB:BA:79
17796;20302;EL JARDIN - PTO RICO | EL JARDIN PTO RICO;A8:A1:59:B0:C5:DB
17795;20297;EL LAVADERO | EL LAVADERO;4:7C:16:B4:3C:7F
17928;21145;EL MALECOM | EL MALECOM;D8:BB:C1:95:CD:F3
17924;21190;EL MARFIL - PRINCIPAL GAITAN 1 | PRINCIPAL MARFIL2824;30:9C:23:DC:2A:41
17670;20324;EL MORICHAL | EL MORICHAL;04:7C:16:B4:3C:79
17968;21151;EL OASIS 1 | EL OASIS;D8:BB:C1:04:25:0B
17750;20285;EL PARAISO GRANADA 1 | EL PARAISO GRANADA;1C:69:7A:12:7F:74
17653;300018;EL PARQUE | EL PARQUE ACACIAS;9C:6B:00:46:F5:16
17881;20253;EL PARQUE SAN MARTIN | EL PARQUE SAN MARTIN;04:7C:16:B4:3C:8F
17918;21188;EL POPULAR | EL POPULAR gaitan;D8:BB:C1:DE:9E:60
17702;20273;EL PORFIN | EL PORFIN;D8:CB:8A:ED:87:DB
17773;20342;EL PRADO | EL PRADO;A8:A1:59:99:31:F4
17709;20231;EL PROVEEDOR | EL PROVEEDOR;2C:F0:5D:EA:8B:D2
17827;20243;EL QUINDIANO | EL QUINDIANO;04:7C:16:B4:3C:34
17274;20027;EL RUBI | EL RUBI;A8:A1:59:99:2F:27
17669;21124;EL SAMAN ACACIAS | EL SAMAN;00:D8:61:03:23:CE
17888;20244;EL SOL SAN MARTIN | EL  SOL SAN MARTIN ;0:D8:61:3:37:2F
17888;21163;EL SOL SAN MARTIN | EL SOL SAN MARTIN;2C:F0:5D:EA:FE:E3
17069;21103;EMPORIO | EMPORIO;70:8B:CD:A0:88:52
17065;21113;EMPORIO FISCALIA | EMPORIO FISCALIA;2C:F0:5D:EA:8A:91
17063;21104;ESMERALDA |  ESMERALDA;D8:BB:C1:04:22:49
17313;20056;ESPECIALIZADO PORFA | ESPECIALIZADO PORFIA;A8:A1:59:B0:CC:67
17302;20048;ESPECIALIZADO PORFIA  | ESPECIALIZADO PORFIA 3;2C:F0:5D:EA:FD:C6
17314;20057;ESPECIALIZADO PORFIA DOS | ESPECIALIZADO PORFIA 2;2C:F0:5D:EA:8A:8A
17961;21153;ESTACION ESSO POMPEYA | ESTACION ESSO POMPEYA;00:D8:61:03:1D:A5
17239;302703;EVENTOS ZONA  | EVENTOS ZONA 1;00:00:00:11:12
17043;19930;EXITO CENTRO  1 | EXITO CENTRO 1;30:9C:23:9B:13:EB
17047;19931;EXITO CENTRO  2 | EXITO CENTRO 2;2C:F0:5D:EB:02:84
17049;21200;EXITO CENTRO BALOTO | EXITO CENTRO BALOTO;0C:00:00:00:E5:D0
17883;20269;FRUTIMETA | FRUTIMETA;1C:69:7A:1C:0B:BA
17030;19684;FUNDACION | FUNDACION ;2C:F0:5D:EB:00:BB
17717;20305;GAITAN | GAITAN;30:9C:23:9A:7C:69
17256;20012;GERMAN ARCINEGAS | GERMAN ARCINIEGAS;70:85:C2:D2:97:B1
17034;19885;GOBERNACION  1 | GOBERNACION 2;D8:BB:C1:04:24:FE
17050;19884;GOBERNACION  2 | GOBERNACION 1;A8:A1:59:99:32:02
17222;19889;GRAMA | GRAMA;30:9C:23:DC:53:F7
17224;21114;GRAMA DOS | GRAMA DOS;4C:CC:6A:D7:12:24
17277;20032;GRAN RESERVA  1 | GRAN RESERVA 3 ;50:46:5D:71:9:E1
17301;20047;GRAN RESERVA  2 | GRAN RESERVA 2;1C:69:7A:17:4F:2D
17309;20054;GRAN RESERVA  3 | GRAN RESERVA 1;2C:F0:5D:22:DF:EE
17679;20363;GUARATARA | GUARATARA;30:9C:23:9B:14:5D
17257;20013;GUATAPE | GUATAPE;30:9C:23:9A:7C:52
16190;20371;HELADERIA SABROSURA | HELADERIA SABROSURA;A8:A1:59:99:2F:B8
17762;20277;HOSPITAL GRANADA | HOSPITAL GRANADA;FC:AA:14:C5:90:7C
